,Id,Temperature (K),Pressure (kPa),Phase,N Components,Component 1,Role 1,Mole Fraction 1,Exact Amount 1,Component 2,Role 2,Mole Fraction 2,Exact Amount 2,EnthalpyOfMixing Value (kJ / mol),EnthalpyOfMixing Uncertainty (kJ / mol),Density Value (g / ml),Density Uncertainty (g / ml),Source
76,dens_2238932092645470826,293.15,101.0,Liquid,2,O,Solvent,0.2561,,OCCN1CCOCC1,Solvent,0.7439,,,,1.08031,0.001565,10.1016/j.jct.2008.01.007
77,dens_2269173599223764079,293.15,101.0,Liquid,2,O,Solvent,0.5147999999999999,,OCCN1CCOCC1,Solvent,0.4852,,,,1.0866900000000004,0.00159,10.1016/j.jct.2008.01.007
78,dhmix_657900975986635712,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.7827,,Cc1ccncc1,Solvent,0.2173,,-0.8885,0.0182,,,10.1016/j.jct.2010.12.028
79,dhmix_727678512066874384,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.4783,,Cc1ccncc1,Solvent,0.5217,,-1.4295,0.0291,,,10.1016/j.jct.2010.12.028
80,dhmix_860941552641107708,308.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.2715,,Cc1ccncc1,Solvent,0.7284999999999999,,-1.1791,0.02405,,,10.1016/j.jct.2010.12.028
81,dens_1148106102021344214,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.2655,,Cc1ccncc1,Solvent,0.7344999999999999,,,,0.9662520000000002,0.00012,10.1016/j.jct.2010.12.028
82,dens_1294189007890656769,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.4863,,Cc1ccncc1,Solvent,0.5137,,,,0.9765780000000002,0.000119,10.1016/j.jct.2010.12.028
83,dens_1461384477504239974,298.15,101.0,Liquid,2,Cc1ccccc1N,Solvent,0.7674,,Cc1ccncc1,Solvent,0.2326,,,,0.9868740000000004,0.000118,10.1016/j.jct.2010.12.028
84,dens_671712471159959715,298.15,100.0,Liquid,2,CCCCCCN,Solvent,0.2944,,CN(C)C=O,Solvent,0.7056,,,,0.8676880000000002,0.001057,10.1021/acs.jced.5b00802
85,dhmix_791979567859859400,298.15,101.0,Liquid,2,CCCCCCN,Solvent,0.7478,,CN(C)C=O,Solvent,0.2522,,0.461,0.015,,,10.1016/j.fluid.2019.112283
86,dens_812907294215791908,298.15,100.0,Liquid,2,CCCCCCN,Solvent,0.4499999999999999,,CN(C)C=O,Solvent,0.55,,,,0.8367510000000001,0.001016,10.1021/acs.jced.5b00802
87,dhmix_1553880519684715156,298.15,101.0,Liquid,2,CCCCCCN,Solvent,0.2497,,CN(C)C=O,Solvent,0.7503,,0.51,0.0165,,,10.1016/j.fluid.2019.112283
88,dens_1658157305664412923,298.15,100.0,Liquid,2,CCCCCCN,Solvent,0.7452,,CN(C)C=O,Solvent,0.2548,,,,0.7905460000000002,0.0009575,10.1021/acs.jced.5b00802
